core,type,code
core_1,neutre,1/0/1/0/0/0/0
core_1,neutre,1/0/1/1/0/0/0
core_1,neutre,1/1/1/0/0/0/0
core_1,neutre,1/1/2/0/0/0/0
core_1,neutre,1/1/3/0/0/0/0
core_1,neutre,1/1/2/3/0/0/0
core_1,sialyle,1/0/1/0/1/0/0
core_1,sialyle,1/0/1/1/1/0/0
core_1,sialyle,1/0/1/0/2/0/0
core_1,sialyle,1/1/2/0/1/0/0
core_1,sialyle,1/1/2/1/1/0/0
core_1,sialyle,1/1/2/0/2/0/0
core_1,sialyle,1/2/3/0/1/0/0
core_3,neutre,1/1/0/0/0/0/0
core_3,neutre,1/1/1/0/0/0/0
core_3,neutre,1/1/1/1/0/0/0
core_3,neutre,1/2/1/0/0/0/0
core_3,neutre,1/1/2/1/0/0/0
core_3,neutre,1/2/1/1/0/0/0
core_3,neutre,1/1/2/2/0/0/0
