GalNAcol,HexNAc,Hex,Fuc,Neu5Ac,Neu5Gc,SO3-,mass
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,330.1883
1,0,0,0,0,0,1,418.1883
1,0,0,0,0,1,0,721.3725
1,0,0,0,1,0,0,691.362
1,0,0,1,0,0,0,504.2775
1,0,1,0,0,0,0,534.2881
1,0,1,0,0,0,1,622.2881
1,0,1,0,0,0,2,710.2881
1,0,1,0,0,1,0,925.4723
1,0,1,0,0,1,1,1013.4723
1,0,1,0,0,2,0,1316.6565
1,0,1,0,1,0,0,895.4618
1,0,1,0,1,0,1,983.4618
1,0,1,0,1,1,0,1286.646
1,0,1,0,2,0,0,1256.6355
1,0,1,1,0,0,0,708.3773
1,0,1,1,0,0,1,796.3773
1,0,1,1,0,1,0,1099.5615
1,0,1,1,1,0,0,1069.551
1,0,1,2,0,0,0,882.4665
1,0,2,0,0,0,0,738.3879
1,0,2,0,0,0,1,826.3879
1,0,2,0,0,0,2,914.3879
1,0,2,0,0,1,0,1129.5721
1,0,2,0,0,1,1,1217.5721
1,0,2,0,0,1,2,1305.5721
1,0,2,0,0,2,0,1520.7563
1,0,2,0,0,2,1,1608.7563
1,0,2,0,1,0,0,1099.5616
1,0,2,0,1,0,1,1187.5616
1,0,2,0,1,0,2,1275.5616
1,0,2,0,1,1,0,1490.7458
1,0,2,0,1,1,1,1578.7458
1,0,2,0,1,2,0,1881.93
1,0,2,0,2,0,0,1460.7353
1,0,2,0,2,0,1,1548.7353
1,0,2,0,2,1,0,1851.9195
1,0,2,1,0,0,0,912.4771
1,0,2,1,0,0,1,1000.4771
1,0,2,1,0,0,2,1088.4771
1,0,2,1,0,1,0,1303.6613
1,0,2,1,0,1,1,1391.6613
1,0,2,1,0,2,0,1694.8455
1,0,2,1,1,0,0,1273.6508
1,0,2,1,1,0,1,1361.6508
1,0,2,1,1,1,0,1664.835
1,0,2,1,2,0,0,1634.8245
1,0,2,2,0,0,0,1086.5663
1,0,2,2,0,0,1,1174.5663
1,0,2,2,0,1,0,1477.7505
1,0,2,2,1,0,0,1447.74
1,0,2,3,0,0,0,1260.6555
1,0,3,0,0,0,0,942.4877
1,0,3,0,0,0,1,1030.4877
1,0,3,0,0,0,2,1118.4877
