GalNAcol,HexNAc,Hex,Fuc,Neu5Ac,Neu5Gc,SO3-,mass
1.0,0.0,0.0,0.0,0.0,0.0,0.0,330.1883
1.0,0.0,0.0,0.0,0.0,0.0,1.0,418.1883
1.0,0.0,0.0,0.0,1.0,0.0,0.0,691.3620000000001
1.0,0.0,0.0,1.0,0.0,0.0,0.0,504.27750000000003
1.0,0.0,1.0,0.0,0.0,0.0,0.0,534.2881
1.0,0.0,1.0,0.0,0.0,0.0,1.0,622.2881
1.0,0.0,1.0,0.0,0.0,0.0,2.0,710.2881
1.0,0.0,1.0,0.0,1.0,0.0,0.0,895.4618
1.0,0.0,1.0,0.0,1.0,0.0,1.0,983.4618
1.0,0.0,1.0,0.0,2.0,0.0,0.0,1256.6354999999999
1.0,0.0,1.0,1.0,0.0,0.0,0.0,708.3773
1.0,0.0,1.0,1.0,0.0,0.0,1.0,796.3773
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1069.551
1.0,0.0,1.0,2.0,0.0,0.0,0.0,882.4665
1.0,0.0,2.0,0.0,0.0,0.0,0.0,738.3879
1.0,0.0,2.0,0.0,0.0,0.0,1.0,826.3879
1.0,0.0,2.0,0.0,0.0,0.0,2.0,914.3879
1.0,0.0,2.0,0.0,1.0,0.0,0.0,1099.5616
1.0,0.0,2.0,0.0,1.0,0.0,1.0,1187.5616
1.0,0.0,2.0,0.0,1.0,0.0,2.0,1275.5616
1.0,0.0,2.0,0.0,2.0,0.0,0.0,1460.7352999999998
1.0,0.0,2.0,0.0,2.0,0.0,1.0,1548.7352999999998
1.0,0.0,2.0,1.0,0.0,0.0,0.0,912.4771
1.0,0.0,2.0,1.0,0.0,0.0,1.0,1000.4771
1.0,0.0,2.0,1.0,0.0,0.0,2.0,1088.4771
1.0,0.0,2.0,1.0,1.0,0.0,0.0,1273.6508
1.0,0.0,2.0,1.0,1.0,0.0,1.0,1361.6508
1.0,0.0,2.0,1.0,2.0,0.0,0.0,1634.8245
1.0,0.0,2.0,2.0,0.0,0.0,0.0,1086.5663
1.0,0.0,2.0,2.0,0.0,0.0,1.0,1174.5663
1.0,0.0,2.0,2.0,1.0,0.0,0.0,1447.74
1.0,0.0,2.0,3.0,0.0,0.0,0.0,1260.6554999999998
1.0,0.0,3.0,0.0,0.0,0.0,0.0,942.4877
1.0,0.0,3.0,0.0,0.0,0.0,1.0,1030.4877000000001
1.0,0.0,3.0,0.0,0.0,0.0,2.0,1118.4877000000001
1.0,0.0,3.0,0.0,1.0,0.0,0.0,1303.6614
1.0,0.0,3.0,0.0,1.0,0.0,1.0,1391.6614
1.0,0.0,3.0,0.0,1.0,0.0,2.0,1479.6614
1.0,0.0,3.0,0.0,2.0,0.0,0.0,1664.8351
1.0,0.0,3.0,0.0,2.0,0.0,1.0,1752.8351
1.0,0.0,3.0,0.0,2.0,0.0,2.0,1840.8351
